SYMBOL, CLOSE_PRICE,BEST_STK,PRC_VOL,CHNG_DELIV,CHANGE,SPREAD, DELIV_QTY,MEAN_DELIV,DELIV_QTY2,DELIV_QTY3,DELIV_QTY4,DELIV_QTY5,DELIV_QTY6,DELIV_QTY7, TURNOVER_LACS,AVG_TRADE_SIZE
MARINE,54.45,True,True,105.92548629192832,-4.55740578439964,6.175115207373275,430236,208928,430236,87404.0,31591.0,474218.0,67104.0,163016.0,573.94,0.09436698454455772
MARKSANS,86.4,False,False,-30.26453358339666,-0.4034582132564776,1.6269610691458523,517585,742212,517585,853320.0,886439.0,674534.0,837894.0,683503.0,1102.6,0.1641262280440607
MARUTI,7293.85,False,False,-50.372173396901985,-0.07808700536334183,1.3467088085749621,207353,417816,207353,234347.0,278461.0,904726.0,606694.0,275316.0,32003.14,0.5725479461857735
MASFIN,823.05,False,False,87.00768199000122,-1.5608180839612569,3.042682926829274,30673,16402,30673,13994.0,17311.0,14812.0,11322.0,10300.0,370.65,0.05858226647700331
MASTEK,2716.15,False,False,24.146254775938157,0.05157012616263342,4.672897196261682,83831,67526,83831,68351.0,48742.0,52436.0,92984.0,58816.0,10254.87,0.2978815430198106
MATRIMONY,1055.4,False,False,-82.1994344700712,-0.2787357679406452,3.6553650549027203,5225,29353,5225,10536.0,68907.0,61263.0,10551.0,19640.0,107.97,0.04948212648945921
MAXHEALTH,278.6,False,False,-13.73308763954714,-0.32200357781752315,2.5406689819045836,601578,697345,601578,543274.0,752425.0,668518.0,1078937.0,539342.0,2680.19,0.09834837810068986
MAXIND,73.55,False,False,-16.42949712124753,2.0110957004160928,3.3519553072625783,196679,235345,196679,99484.0,602508.0,242767.0,119393.0,151244.0,309.93,0.10735365431243506
MAXVIL,88.85,True,True,201.24297292094707,10.716510903426785,12.99751243781093,766817,254551,766817,109511.0,181754.0,183024.0,59903.0,226299.0,1860.06,0.09605267234701781
MAYURUNIQ,488.5,False,False,-79.76552477787808,-0.963000506842372,3.0927835051546393,17035,84188,17035,144289.0,73668.0,42252.0,63068.0,164818.0,184.19,0.07626915113871635
MAZDA,615.8,False,False,13.39943342776204,2.496671105193076,7.481381178063651,8006,7060,8006,1819.0,2321.0,2170.0,13454.0,14594.0,132.46,0.10938067712634188
MAZDOCK,263.4,False,False,-4.362142753428804,-2.624768946395572,4.293073840870062,388612,406337,388612,235068.0,490730.0,382699.0,472207.0,468708.0,3059.97,0.1853291744897341
MBAPL,128.75,False,False,0.0,1.4578408195429426,4.0,2972,2972,2972,2972.0,2972.0,2972.0,2972.0,2972.0,6.94,0.02496402877697842
MBLINFRA,23.15,False,False,-39.774486365676495,-2.1141649048625792,4.3478260869565215,65750,109173,65750,100334.0,79982.0,114037.0,110379.0,184558.0,20.98,0.05218905472636816
MCDHOLDING,57.05,False,False,-50.32951100566759,0.26362038664323123,2.841918294849026,22611,45522,22611,17628.0,59223.0,69774.0,37489.0,66407.0,25.2,0.03490304709141274
MCDOWELL-N,683.45,False,False,1.3513322977936424,1.304380048914262,3.705935522747819,862587,851086,862587,483291.0,828102.0,1046085.0,1066252.0,820202.0,21670.23,0.3255988280369619
MCL,47.15,True,True,346.21944413438996,-8.357628765792038,11.85344827586207,599652,134385,599652,17311.0,43677.0,133802.0,8309.0,3559.0,679.27,0.08507890781563127
MCLEODRUSS,30.8,False,False,19.14886942555274,-4.938271604938265,8.766233766233764,379818,318776,379818,342313.0,753818.0,156432.0,112054.0,168221.0,166.01,0.09022282608695652
MCX,1643.6,False,False,21.937221372449045,-2.0267048164043877,3.235653235653236,93271,76491,93271,87296.0,49232.0,75535.0,74130.0,79484.0,4339.2,0.24875028663150653
MENONBE,84.35,False,False,202.2801079449298,0.35693039857227504,6.8880688806888175,132175,43726,132175,6845.0,12553.0,38561.0,31765.0,40461.0,360.56,0.04917621385706492
MEP,24.45,False,False,11.869260428893822,0.6172839506172781,6.144067796610166,307834,275173,307834,328237.0,240620.0,446333.0,189161.0,138856.0,98.1,0.08537859007832897
METROPOLIS,2830.95,False,False,21.62111568700861,1.3152243933863004,2.3142857142857207,25988,21368,25988,9336.0,9398.0,23070.0,15613.0,44807.0,3264.61,0.31756906614785996
MFSL,1081.5,False,False,-33.883313634898464,2.414772727272727,5.8601134215500945,461511,698025,461511,220702.0,184938.0,1865061.0,1007885.0,448055.0,23257.13,0.341765319617928
MGEL,56.35,False,False,43.018713662790695,0.1777777777777803,6.324472960586623,31487,22016,31487,3429.0,41266.0,1994.0,21728.0,32196.0,22.14,0.0938135593220339
MGL,1144.25,False,False,-33.077906912083634,-0.26149487905861846,2.2752180965323787,120346,179830,120346,178904.0,89891.0,284933.0,94709.0,310201.0,3946.62,0.23884168482207696
MHRIL,324.3,True,True,382.5355239116319,4.562308560374024,11.959035348529893,639099,132446,639099,15462.0,48475.0,25044.0,25211.0,41386.0,10439.48,0.20189293726309274
MIDHANI,200.35,False,False,68.43393178464584,1.7521584560690646,3.2322726133800996,457731,271757,457731,174553.0,348734.0,338908.0,132420.0,178196.0,3670.86,0.16817977733999176
MINDACORP,133.25,False,False,-77.13206050523857,-2.2735606894022693,3.5444947209653224,124542,544614,124542,212718.0,339877.0,639563.0,767323.0,1183662.0,378.28,0.08811553692056837
MINDAIND,735.2,False,False,198.52003369028998,1.0514741254896698,2.496532593619972,347340,116354,347340,32615.0,70722.0,96509.0,102730.0,48212.0,3872.32,0.4887441625646851
MINDTECK,103.35,False,False,95.5610635421361,4.977145759268656,0.0,26037,13314,26037,11748.0,13064.0,16287.0,5418.0,7332.0,26.99,0.13495
MINDTREE,2721.25,False,False,23.805039254128747,-1.36109902856315,3.000313878990417,289216,233606,289216,459985.0,223305.0,162143.0,111757.0,155233.0,19736.62,0.562874172940908
MIRZAINT,63.05,True,True,384.7005878865179,6.7739204064352245,7.382550335570468,3948434,814613,3948434,96341.0,358406.0,135123.0,127533.0,221846.0,7076.42,0.1536281533585168
MITTAL,12.25,False,False,20.620896098879875,-0.8097165991902806,3.73443983402489,49966,41424,49966,47936.0,35813.0,44821.0,38539.0,31471.0,9.66,0.03512727272727273
MMFL,717.1,False,False,-53.94479460986742,-2.594403694648196,7.183098591549296,8476,18404,8476,41557.0,2817.0,17111.0,33654.0,6811.0,116.12,0.05228275551553355
MMP,137.05,False,False,117.4725251633781,1.8959107806691535,8.860294117647067,103493,47589,103493,14410.0,112926.0,14819.0,5762.0,34129.0,293.38,0.07386203423967774
MMTC,48.7,False,False,-64.92106490992278,-2.891326021934189,4.766839378238337,705222,2010386,705222,2660887.0,1846489.0,3463056.0,1843586.0,1543076.0,1185.57,0.12924561212253352
MODISNME,86.65,False,False,0.0,-1.9796380090497736,4.3503480278422275,78268,78268,78268,78268.0,78268.0,78268.0,78268.0,78268.0,112.4,0.03792172739541161
MOGSEC,48.33,False,False,0.0,-0.12399256044637792,0.18633540372671514,344,344,344,344.0,344.0,344.0,344.0,344.0,0.17,0.015454545454545455
MOIL,183.0,False,False,-51.301016282078926,1.4693651233712257,2.4674244524535722,144523,296768,144523,119321.0,282575.0,475178.0,368798.0,390214.0,885.76,0.12047878128400435
MOKSH,27.45,False,False,0.0,0.9191176470588236,1.4760147601475961,996012,996012,996012,996012.0,996012.0,996012.0,996012.0,996012.0,308.78,0.5686556169429097
MOLDTKPAC,525.2,False,False,-42.09269263576912,0.6033904798391133,1.4556598352806018,10183,17585,10183,9147.0,16319.0,28825.0,17310.0,23730.0,107.0,0.048947849954254344
MOM100,28.86,False,False,0.0,0.5925409550365917,0.9752699407871737,33058,33058,33058,33058.0,33058.0,33058.0,33058.0,33058.0,18.37,0.010980274955170352
MOM50,156.37,False,False,0.0,0.2179068127924139,0.666880410387958,13174,13174,13174,13174.0,13174.0,13174.0,13174.0,13174.0,20.7,0.575
MON100,110.05,False,False,0.0,0.9170105456212746,1.603298213467705,2340996,2340996,2340996,2340996.0,2340996.0,2340996.0,2340996.0,2340996.0,2770.83,0.6295910020449897
MONTECARLO,353.4,False,False,-33.786084381939304,-0.8139208532135936,2.751773049645387,17891,27020,17891,11940.0,39949.0,30777.0,20693.0,40870.0,117.55,0.061033229491173416
MORARJEE,18.6,False,False,43.16761363636364,-1.8469656992084322,5.962059620596214,20158,14080,20158,37012.0,14863.0,4745.0,1546.0,6158.0,5.25,0.027925531914893616
MOREPENLAB,65.35,False,False,-55.89635757858061,-1.5813253012048363,3.9412673879443543,966717,2191921,966717,8666562.0,736051.0,1005707.0,753672.0,1022821.0,1115.14,0.13142486741308193
MOTHERSUMI,235.95,False,False,-33.586733368221125,-0.5060088551549724,2.7108433734939688,3629578,5465140,3629578,5653288.0,3130743.0,3139910.0,10803924.0,6433397.0,16827.55,0.23820211199818808
MOTILALOFS,1056.65,False,False,-23.870501707381138,-2.139384116693671,4.524756746393118,127523,167508,127523,52171.0,157427.0,538684.0,80023.0,49221.0,5766.2,0.3017215216367537
MOTOGENFIN,22.5,False,False,63.21966693100713,3.4482758620689653,6.79156908665105,10291,6305,10291,2334.0,3781.0,13367.0,2475.0,5586.0,3.18,0.01817142857142857
MPHASIS,2530.15,True,True,172.81360500521114,5.537248686076582,8.290689913229903,866426,317589,866426,171433.0,58336.0,525551.0,218733.0,65059.0,163477.48,0.6732233515080633
MPSLTD,631.7,False,False,-65.37515375153752,-0.7385292269013092,2.9855512093877117,6756,19512,6756,51549.0,38500.0,9600.0,6246.0,4422.0,72.1,0.07786177105831533
MRF,81174.85,False,False,-60.42780748663101,-0.48687049477761263,1.1972222222222222,1184,2992,1184,3662.0,5242.0,2817.0,3133.0,1916.0,3636.85,1.272515745276417
MRO-TEK,34.15,False,False,0.0,3.7993920972644375,7.361963190184044,3687,3687,3687,3687.0,3687.0,3687.0,3687.0,3687.0,1.58,0.025483870967741937
MRPL,45.55,False,False,-47.18389573065433,-0.8705114254624715,1.7621145374449434,419006,793330,419006,683774.0,919742.0,1536407.0,392378.0,808676.0,394.49,0.09399332856802478
MSPL,10.8,False,False,178.62655306416596,-0.9174311926605472,6.572769953051637,152718,54811,152718,41232.0,27954.0,11170.0,25645.0,70148.0,26.17,0.040323574730354396
MSTCLTD,300.3,False,False,-5.428160665123594,0.18348623853211388,3.4540576794097957,224314,237189,224314,138766.0,353541.0,123505.0,339235.0,243776.0,1845.73,0.11014680432058245
MTARTECH,1472.55,False,False,0.0,-1.9346030900372906,3.4676150742083336,69341,69341,69341,69341.0,69341.0,69341.0,69341.0,69341.0,2740.17,0.2080615034168565
MTEDUCARE,8.65,False,False,-2.8432220492417692,-3.351955307262558,6.976744186046507,168499,173430,168499,122696.0,318499.0,267040.0,109626.0,54223.0,27.14,0.042208398133748055
MTNL,21.0,False,False,-85.62043410383677,-0.943396226415091,2.8846153846153744,610303,4244238,610303,12804475.0,8349049.0,2609604.0,445805.0,646193.0,238.42,0.07459949937421777
MUKANDLTD,135.8,False,False,29.386524822695037,-4.16372618207479,6.122448979591836,72974,56400,72974,49341.0,90240.0,51736.0,45775.0,28334.0,126.44,0.10440957886044591
MUKTAARTS,36.45,False,False,-67.62777404169469,-1.2195121951219396,1.5130674002750952,3851,11896,3851,6074.0,9097.0,11055.0,12082.0,29220.0,1.69,0.022837837837837837
MUNJALAU,64.8,False,False,-24.481918812699472,-0.38431975403535745,2.1011673151750885,85892,113737,85892,55977.0,107371.0,193476.0,116012.0,123695.0,117.86,0.04095205003474635
MUNJALSHOW,148.8,False,False,-50.78190343429223,0.6425431180250369,1.8329938900203586,19419,39455,19419,10051.0,29825.0,62588.0,78560.0,36289.0,56.22,0.029968017057569296
MURUDCERA,29.55,False,False,-4.84108323889105,-2.314049586776857,3.5653650254668956,56257,59119,56257,78290.0,72039.0,41771.0,43880.0,62480.0,27.87,0.029680511182108626
MUTHOOTCAP,472.05,True,True,194.291228946206,3.610623353819137,7.35930735930736,306469,104138,306469,12385.0,24698.0,49934.0,215529.0,15816.0,5421.91,0.14374479705188367
MUTHOOTFIN,1567.05,False,False,-58.318901815767035,-2.343190103760953,3.592948717948715,256087,614396,256087,543136.0,453406.0,666379.0,728317.0,1039054.0,14234.11,0.37289400607775336
NACLIND,77.4,False,False,-39.00023536653812,-1.0862619808306637,1.9417475728155338,33692,55233,33692,16972.0,30939.0,88223.0,76845.0,84732.0,41.65,0.060714285714285714
NAGREEKEXP,31.4,False,False,139.9546827794562,-1.5673981191222572,5.617977528089888,9531,3972,9531,1838.0,3002.0,3076.0,2890.0,3499.0,6.15,0.024698795180722894
NAHARCAP,248.8,False,False,130.06273387629318,1.7378859129012472,7.592824363788065,41807,18172,41807,48501.0,4338.0,7450.0,4162.0,2777.0,247.4,0.06019464720194647
NAHARPOLY,208.55,False,False,2.9026466285410293,-2.7285447761194,4.704463208685163,30949,30076,30949,10374.0,88747.0,15236.0,22624.0,12528.0,132.58,0.04724875267284391
NAM-INDIA,401.75,False,False,101.7557951510874,1.0437625754527105,3.836990595611288,766095,379714,766095,420291.0,233671.0,318064.0,279455.0,260712.0,9546.24,0.3442071104059998
NATCOPHARM,1094.45,False,False,-33.24069424284741,0.18307474026271223,2.161109307610254,194092,290734,194092,161965.0,380738.0,115148.0,208331.0,684130.0,3148.99,0.40140089228808157
NATHBIOGEN,364.4,False,False,-24.931716377144106,-0.8030488634817056,2.4861878453038675,13742,18306,13742,22739.0,35663.0,10420.0,10826.0,16451.0,76.6,0.04687882496940024
NATIONALUM,82.45,False,False,-5.405351484619569,-2.999999999999997,4.517704517704503,8534560,9022244,8534560,6096800.0,5554353.0,19675556.0,7739211.0,6532988.0,15418.4,0.36498437647950005
NAUKRI,5142.55,False,False,53.08203521370189,-1.584582850909512,4.6826171875,274571,179362,274571,240896.0,86928.0,201899.0,121383.0,150495.0,72280.46,0.6526570231516596
NAVINFLUOR,3940.1,False,False,-44.05379943474513,0.6887034741831981,1.9761420142735635,27911,49889,27911,36250.0,139432.0,35797.0,32266.0,27682.0,5488.57,0.45502984579671696
NAVKARCORP,51.15,False,False,10.653422525644222,-2.941176470588243,6.102362204724413,514773,465212,514773,1038127.0,551110.0,305907.0,131610.0,249749.0,561.89,0.09429266655479107
NAVNETEDUL,96.6,False,False,-45.8870480456468,0.10362694300517547,2.3157894736842133,149559,276383,149559,862029.0,33720.0,394919.0,87083.0,130989.0,208.02,0.07092396863279919
NAZARA,1898.55,False,False,0.0,2.3118583784657596,4.616722371674686,114505,114505,114505,114505.0,114505.0,114505.0,114505.0,114505.0,6954.3,0.2363960840301856
NBCC,50.3,False,False,-71.33613940098812,-1.757812500000011,2.7888446215139413,2688100,9378011,2688100,4056177.0,8453856.0,16671330.0,7483235.0,16915372.0,2928.52,0.14364644135968999
NBIFIN,2256.4,False,False,-50.26178010471204,-0.390685354817345,1.9288888888888929,190,382,190,723.0,422.0,269.0,379.0,309.0,9.19,0.05779874213836478
